case_id,slide_id,label
normal_001,normal_001,normal_tissue
normal_002,normal_002,normal_tissue
normal_003,normal_003,normal_tissue
normal_004,normal_004,normal_tissue
normal_005,normal_005,normal_tissue
normal_006,normal_006,normal_tissue
normal_007,normal_007,normal_tissue
normal_008,normal_008,normal_tissue
normal_009,normal_009,normal_tissue
normal_010,normal_010,normal_tissue
normal_011,normal_011,normal_tissue
normal_012,normal_012,normal_tissue
normal_013,normal_013,normal_tissue
normal_014,normal_014,normal_tissue
normal_015,normal_015,normal_tissue
normal_016,normal_016,normal_tissue
normal_017,normal_017,normal_tissue
normal_018,normal_018,normal_tissue
normal_019,normal_019,normal_tissue
normal_020,normal_020,normal_tissue
normal_021,normal_021,normal_tissue
normal_022,normal_022,normal_tissue
normal_023,normal_023,normal_tissue
normal_024,normal_024,normal_tissue
normal_025,normal_025,normal_tissue
normal_026,normal_026,normal_tissue
normal_027,normal_027,normal_tissue
normal_028,normal_028,normal_tissue
normal_029,normal_029,normal_tissue
normal_030,normal_030,normal_tissue
normal_031,normal_031,normal_tissue
normal_032,normal_032,normal_tissue
normal_033,normal_033,normal_tissue
normal_034,normal_034,normal_tissue
normal_035,normal_035,normal_tissue
normal_036,normal_036,normal_tissue
normal_037,normal_037,normal_tissue
normal_038,normal_038,normal_tissue
normal_039,normal_039,normal_tissue
normal_040,normal_040,normal_tissue
normal_041,normal_041,normal_tissue
normal_042,normal_042,normal_tissue
normal_043,normal_043,normal_tissue
normal_044,normal_044,normal_tissue
normal_045,normal_045,normal_tissue
normal_046,normal_046,normal_tissue
normal_047,normal_047,normal_tissue
normal_048,normal_048,normal_tissue
normal_049,normal_049,normal_tissue
normal_050,normal_050,normal_tissue
normal_051,normal_051,normal_tissue
normal_052,normal_052,normal_tissue
normal_053,normal_053,normal_tissue
normal_054,normal_054,normal_tissue
normal_055,normal_055,normal_tissue
normal_056,normal_056,normal_tissue
normal_057,normal_057,normal_tissue
normal_058,normal_058,normal_tissue
normal_059,normal_059,normal_tissue
normal_060,normal_060,normal_tissue
normal_061,normal_061,normal_tissue
normal_062,normal_062,normal_tissue
normal_063,normal_063,normal_tissue
normal_064,normal_064,normal_tissue
normal_065,normal_065,normal_tissue
normal_066,normal_066,normal_tissue
normal_067,normal_067,normal_tissue
normal_068,normal_068,normal_tissue
normal_069,normal_069,normal_tissue
normal_070,normal_070,normal_tissue
normal_071,normal_071,normal_tissue
normal_072,normal_072,normal_tissue
normal_073,normal_073,normal_tissue
normal_074,normal_074,normal_tissue
normal_075,normal_075,normal_tissue
normal_076,normal_076,normal_tissue
normal_077,normal_077,normal_tissue
normal_078,normal_078,normal_tissue
normal_079,normal_079,normal_tissue
normal_080,normal_080,normal_tissue
normal_081,normal_081,normal_tissue
normal_082,normal_082,normal_tissue
normal_083,normal_083,normal_tissue
normal_084,normal_084,normal_tissue
normal_085,normal_085,normal_tissue
normal_087,normal_087,normal_tissue
normal_088,normal_088,normal_tissue
normal_089,normal_089,normal_tissue
normal_090,normal_090,normal_tissue
normal_091,normal_091,normal_tissue
normal_092,normal_092,normal_tissue
normal_093,normal_093,normal_tissue
normal_094,normal_094,normal_tissue
normal_095,normal_095,normal_tissue
normal_096,normal_096,normal_tissue
normal_097,normal_097,normal_tissue
normal_098,normal_098,normal_tissue
normal_099,normal_099,normal_tissue
normal_100,normal_100,normal_tissue
normal_101,normal_101,normal_tissue
normal_102,normal_102,normal_tissue
normal_103,normal_103,normal_tissue
normal_104,normal_104,normal_tissue
normal_105,normal_105,normal_tissue
normal_106,normal_106,normal_tissue
normal_107,normal_107,normal_tissue
normal_108,normal_108,normal_tissue
normal_109,normal_109,normal_tissue
normal_110,normal_110,normal_tissue
normal_111,normal_111,normal_tissue
normal_112,normal_112,normal_tissue
normal_113,normal_113,normal_tissue
normal_114,normal_114,normal_tissue
normal_115,normal_115,normal_tissue
normal_116,normal_116,normal_tissue
normal_117,normal_117,normal_tissue
normal_118,normal_118,normal_tissue
normal_119,normal_119,normal_tissue
normal_120,normal_120,normal_tissue
normal_121,normal_121,normal_tissue
normal_122,normal_122,normal_tissue
normal_123,normal_123,normal_tissue
