,train,val,test
0,normal_001,normal_004,test_001
1,normal_002,normal_005,test_002
2,normal_003,normal_011,test_003
3,normal_006,normal_012,test_004
4,normal_007,normal_013,test_005
5,normal_008,normal_016,test_006
6,normal_009,normal_017,test_007
7,normal_010,normal_025,test_008
8,normal_014,normal_030,test_009
9,normal_015,normal_038,test_010
10,normal_018,normal_047,test_011
11,normal_019,normal_053,test_012
12,normal_020,normal_056,test_013
13,normal_021,normal_059,test_014
14,normal_022,normal_076,test_015
15,normal_023,normal_078,test_016
16,normal_024,normal_079,test_017
17,normal_026,normal_082,test_018
18,normal_027,normal_087,test_019
19,normal_028,normal_093,test_020
20,normal_029,normal_098,test_021
21,normal_031,normal_104,test_022
22,normal_032,normal_108,test_023
23,normal_033,normal_110,test_024
24,normal_034,normal_113,test_025
25,normal_035,normal_116,test_026
26,normal_036,normal_125,test_027
27,normal_037,normal_142,test_028
28,normal_039,normal_144,test_029
29,normal_040,normal_152,test_030
30,normal_041,normal_155,test_031
31,normal_042,normal_158,test_032
32,normal_043,tumor_003,test_033
33,normal_044,tumor_008,test_034
34,normal_045,tumor_009,test_035
35,normal_046,tumor_010,test_036
36,normal_048,tumor_022,test_037
37,normal_049,tumor_023,test_038
38,normal_050,tumor_028,test_039
39,normal_051,tumor_035,test_040
40,normal_052,tumor_051,test_041
41,normal_054,tumor_055,test_042
42,normal_055,tumor_058,test_043
43,normal_057,tumor_067,test_044
44,normal_058,tumor_070,test_045
45,normal_060,tumor_071,test_046
46,normal_061,tumor_077,test_047
47,normal_062,tumor_080,test_048
48,normal_063,tumor_087,test_050
49,normal_064,tumor_091,test_051
50,normal_065,tumor_092,test_052
51,normal_066,tumor_099,test_053
52,normal_067,tumor_105,test_054
53,normal_068,tumor_106,test_055
54,normal_069,,test_056
55,normal_070,,test_057
56,normal_071,,test_058
57,normal_072,,test_059
58,normal_073,,test_060
59,normal_074,,test_061
60,normal_075,,test_062
61,normal_077,,test_063
62,normal_080,,test_064
63,normal_081,,test_065
64,normal_083,,test_066
65,normal_084,,test_067
66,normal_085,,test_068
67,normal_088,,test_069
68,normal_089,,test_070
69,normal_090,,test_071
70,normal_091,,test_072
71,normal_092,,test_073
72,normal_094,,test_074
73,normal_095,,test_075
74,normal_096,,test_076
75,normal_097,,test_077
76,normal_099,,test_078
77,normal_100,,test_079
78,normal_101,,test_080
79,normal_102,,test_081
80,normal_103,,test_082
81,normal_105,,test_083
82,normal_106,,test_084
83,normal_107,,test_085
84,normal_109,,test_086
85,normal_111,,test_087
86,normal_112,,test_088
87,normal_114,,test_089
88,normal_115,,test_090
89,normal_117,,test_091
90,normal_118,,test_092
91,normal_119,,test_093
92,normal_120,,test_094
93,normal_121,,test_095
94,normal_122,,test_096
95,normal_123,,test_097
96,normal_124,,test_098
97,normal_126,,test_099
98,normal_127,,test_100
99,normal_128,,test_101
100,normal_129,,test_102
101,normal_130,,test_103
102,normal_131,,test_104
103,normal_132,,test_105
104,normal_133,,test_106
105,normal_134,,test_107
106,normal_135,,test_108
107,normal_136,,test_109
108,normal_137,,test_110
109,normal_138,,test_111
110,normal_139,,test_112
111,normal_140,,test_113
112,normal_141,,test_114
113,normal_143,,test_115
114,normal_145,,test_116
115,normal_146,,test_117
116,normal_147,,test_118
117,normal_148,,test_119
118,normal_149,,test_120
119,normal_150,,test_121
120,normal_151,,test_122
121,normal_153,,test_123
122,normal_154,,test_124
123,normal_156,,test_125
124,normal_157,,test_126
125,normal_159,,test_127
126,normal_160,,test_128
127,tumor_001,,test_129
128,tumor_002,,test_130
129,tumor_004,,
130,tumor_005,,
131,tumor_006,,
132,tumor_007,,
133,tumor_011,,
134,tumor_012,,
135,tumor_013,,
136,tumor_014,,
137,tumor_015,,
138,tumor_016,,
139,tumor_017,,
140,tumor_018,,
141,tumor_019,,
142,tumor_020,,
143,tumor_021,,
144,tumor_024,,
145,tumor_025,,
146,tumor_026,,
147,tumor_027,,
148,tumor_029,,
149,tumor_030,,
150,tumor_031,,
151,tumor_032,,
152,tumor_033,,
153,tumor_034,,
154,tumor_036,,
155,tumor_037,,
156,tumor_038,,
157,tumor_039,,
158,tumor_040,,
159,tumor_041,,
160,tumor_042,,
161,tumor_043,,
162,tumor_044,,
163,tumor_045,,
164,tumor_046,,
165,tumor_047,,
166,tumor_048,,
167,tumor_049,,
168,tumor_050,,
169,tumor_052,,
170,tumor_053,,
171,tumor_054,,
172,tumor_056,,
173,tumor_057,,
174,tumor_059,,
175,tumor_060,,
176,tumor_061,,
177,tumor_062,,
178,tumor_063,,
179,tumor_064,,
180,tumor_065,,
181,tumor_066,,
182,tumor_068,,
183,tumor_069,,
184,tumor_072,,
185,tumor_073,,
186,tumor_074,,
187,tumor_075,,
188,tumor_076,,
189,tumor_078,,
190,tumor_079,,
191,tumor_081,,
192,tumor_082,,
193,tumor_083,,
194,tumor_084,,
195,tumor_085,,
196,tumor_086,,
197,tumor_088,,
198,tumor_089,,
199,tumor_090,,
200,tumor_093,,
201,tumor_094,,
202,tumor_095,,
203,tumor_096,,
204,tumor_097,,
205,tumor_098,,
206,tumor_100,,
207,tumor_101,,
208,tumor_102,,
209,tumor_103,,
210,tumor_104,,
211,tumor_107,,
212,tumor_108,,
213,tumor_109,,
214,tumor_110,,
215,tumor_111,,
